Time Ch1 Ch2	
-3.200E-4	0.23375	-0.01850
-3.196E-4	0.21000	-0.01600
-3.192E-4	0.22000	-0.02800
-3.188E-4	0.24000	-0.01600
-3.184E-4	0.23000	-0.01200
-3.180E-4	0.21000	0.00000
-3.176E-4	0.22000	-0.00400
-3.172E-4	0.22000	-0.01200
-3.168E-4	0.22000	-0.02800
-3.164E-4	0.24000	-0.03600
-3.160E-4	0.24000	-0.02000
-3.156E-4	0.23000	-0.02800
-3.152E-4	0.21000	-0.01200
-3.148E-4	0.24000	-0.00400
-3.144E-4	0.23000	-0.00400
-3.140E-4	0.23000	-0.02000
-3.136E-4	0.25000	-0.00800
-3.132E-4	0.21000	-0.02000
-3.128E-4	0.24000	-0.02400
-3.124E-4	0.24000	-0.02000
-3.120E-4	0.22000	-0.02000
-3.116E-4	0.23000	-0.02800
-3.112E-4	0.23000	-0.01200
-3.108E-4	0.23000	-0.00800
-3.104E-4	0.24000	-0.02000
-3.100E-4	0.23000	-0.02000
-3.096E-4	0.23000	-0.01600
-3.092E-4	0.23000	-0.02800
-3.088E-4	0.23000	-0.02800
-3.084E-4	0.23000	-0.04400
-3.080E-4	0.23000	-0.03200
-3.076E-4	0.23000	-0.02400
-3.072E-4	0.23000	-0.02000
-3.068E-4	0.23000	-0.02800
-3.064E-4	0.23000	-0.02000
-3.060E-4	0.23000	-0.00800
-3.056E-4	0.21000	-0.02000
-3.052E-4	0.24000	-0.03200
-3.048E-4	0.24000	-0.02000
-3.044E-4	0.21000	-0.03600
-3.040E-4	0.24000	-0.04400
-3.036E-4	0.23000	-0.05200
-3.032E-4	0.21000	-0.02400
-3.028E-4	0.24000	-0.02000
-3.024E-4	0.23000	-0.03600
-3.020E-4	0.23000	-0.01600
-3.016E-4	0.23000	-0.01200
-3.012E-4	0.21000	-0.02800
-3.008E-4	0.24000	0.00000
-3.004E-4	0.23000	-0.01200
-3.000E-4	0.25000	-0.02400
-2.996E-4	0.21000	-0.02000
-2.992E-4	0.24000	-0.02400
-2.988E-4	0.21000	-0.00800
-2.984E-4	0.23000	-0.02000
-2.980E-4	0.24000	-0.01600
-2.976E-4	0.23000	-0.03200
-2.972E-4	0.21000	-0.03200
-2.968E-4	0.22000	-0.02400
-2.964E-4	0.22000	0.00000
-2.960E-4	0.26000	-0.01200
-2.956E-4	0.21000	-0.02800
-2.952E-4	0.22000	-0.00800
-2.948E-4	0.26000	-0.02800
-2.944E-4	0.23000	-0.01600
-2.940E-4	0.23000	-0.00800
-2.936E-4	0.25000	-0.02000
-2.932E-4	0.23000	-0.02000
-2.928E-4	0.23000	-0.00800
